,업무,공고번호-차수,분류,공고명,URL주소,공고기관,수요기관,계약방법,입력일시,공동수급,투찰여부
83,용역,20190123013-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190123013&bidseq=00&releaseYn=Y&taskClCd=5 ,2019학년도 DU 새내기 인성캠프 학생수송버스 임차용역,대구대학교,대구대학교,제한(총액),2019/01/23 11:37(-),,
84,용역,20190120885-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190120885&bidseq=00&releaseYn=Y&taskClCd=5 ,한대부고 2019학년도 1학년 자기주도학습(한양모자이크)캠프 위탁용역,서울특별시교육청 한양대학교사범대학부속고등학교,서울특별시교육청 한양대학교사범대학부속고등학교,제한(총액)규격가격동시,2019/01/22 09:18(2019/01/30 14:00),,마감
85,용역,20190118877-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190118877&bidseq=00&releaseYn=Y&taskClCd=5 ,2019년 공직자 인성교육캠프 운영 용역,부산광역시,부산광역시 인재개발원,일반(총액)협상에의한계약,2019/01/21 10:38(2019/02/08 17:00),마감,마감
86,용역,20190105331-02,변경,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190105331&bidseq=02&releaseYn=Y&taskClCd=5 ,2018 특성화사업 동계방학 재학생 토익캠프 위탁운영 입찰[긴급],거제대학 산학협력단,거제대학 산학협력단,제한(총액),2019/01/18 12:04(-),,
87,용역,20190113114-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190113114&bidseq=00&releaseYn=Y&taskClCd=5 ,거창대성고등학교 현장체험학습(스키캠프) 용역,경상남도교육청 거창대성고등학교,경상남도교육청 거창대성고등학교,제한(총액)규격가격동시,2019/01/15 11:44(2019/01/28 10:00),,마감
88,용역,20190112410-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190112410&bidseq=00&releaseYn=Y&taskClCd=5 ,2019학년도 1학기 맞이 수업과 평가 및 신규교사 도움닫기(2기) 캠프 숙박 용역 입찰 재공고,경상남도교육청,경상남도교육청,제한(총액),2019/01/14 18:07(2019/01/21 10:00),,마감
89,기타,건LINC20190109-01-01,변경,https://www.g2b.go.kr:8101/ep/tbid/selectOthersBidDtl.do?tbidno=20190108460&bidseq=01,[긴급재공고][LINC+]취업역량강화 직무교육(커리어 마스터 캠프3) 업체선정,건국대학교,건국대학교 글로컬캠퍼스 산학협력단 LINC+사업센터,,2019/01/09 18:08(2019/01/16 10:30),,
90,용역,20190104555-01,변경,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190104555&bidseq=01&releaseYn=Y&taskClCd=5 ,경북식품과학마이스터고등학교 신입생 오리엔테이션 및 재학생 취업역량강화 캠프 입찰 공고,경상북도교육청 경북식품과학마이스터고등학교,경상북도교육청 경북식품과학마이스터고등학교,제한(총액)규격가격동시,2019/01/08 10:24(2019/01/18 12:00),,마감
91,물품,20190104223-01,취소,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190104223&bidseq=01&releaseYn=Y&taskClCd=1 ,2018 특성화사업 동계방학 재학생 토익캠프 위탁운영 입찰[긴급],거제대학 산학협력단,거제대학 산학협력단,제한(총액),2019/01/08 09:13(-),,
92,용역,20190105282-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190105282&bidseq=00&releaseYn=Y&taskClCd=5 ,2018년 SCK 사업 / 2018학년도 동계 학습역량 강화 캠프 위탁운영 사업자 선정 입찰 공고,강동대학교,강동대학교,제한(총액)협상에의한계약,2019/01/07 22:22(-),,
93,용역,20190104980-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190104980&bidseq=00&releaseYn=Y&taskClCd=5 ,2019학년도 1학기 맞이 수업과 평가 및 신규교사 도움닫기(2기) 캠프 숙박 용역 입찰 공고,경상남도교육청,경상남도교육청,제한(총액),2019/01/07 17:29(2019/01/14 10:00),,마감
94,용역,20190104502-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190104502&bidseq=00&releaseYn=Y&taskClCd=5 ,DU 새내기 인성캠프 환영행사 진행 용역,대구대학교,대구대학교,일반(총액),2019/01/07 14:21(-),,
95,용역,20190103928-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190103928&bidseq=00&releaseYn=Y&taskClCd=5 ,경남공업고등학교 전기도제반 도제역량강화 캠프 위탁용역(2단계),부산광역시교육청 경남공업고등학교,부산광역시교육청 경남공업고등학교,제한(총액)규격가격동시,2019/01/07 10:49(2019/01/18 10:00),,마감
96,용역,20190101580-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190101580&bidseq=00&releaseYn=Y&taskClCd=5 ,제2차 기업이 원하는 인성함양 캠프 용역,영남대학교,영남대학교,제한(총액)협상에의한계약,2019/01/04 09:23(-),,
97,용역,20190101597-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190101597&bidseq=00&releaseYn=Y&taskClCd=5 ,2018학년도 글로벌 역사문화탐구캠프 위탁용역,전라남도교육청 해남고등학교,전라남도교육청 해남고등학교,수의(총액)소액수의,2019/01/03 11:53(2019/01/09 10:00),,마감
